"","Year","Month","YearMon","number_encounters","threemonth_spi","prevyear_spi","average_rainfall","season","Month_categorical","Year_categorical","dyad_id","threeseason","fourseason","dyad_species"
"82",2016,1,"2016-01",2,-0.55,-0.46,138.971428571429,"Wet","Jan","2016","Xerxes-Woody","Wet","Hot Wet","Dog-Lion"
"83",2016,2,"2016-02",2,-0.53,-0.29,97.4785714285714,"Wet","Feb","2016","Bali-FEight","Wet","Hot Wet","Dog-Lion"
"84",2016,2,"2016-02",1,-0.53,-0.29,97.4785714285714,"Wet","Feb","2016","Xerxes-Buzz","Wet","Hot Wet","Dog-Lion"
"85",2016,2,"2016-02",2,-0.53,-0.29,97.4785714285714,"Wet","Feb","2016","Xerxes-FThree","Wet","Hot Wet","Dog-Lion"
"86",2016,2,"2016-02",1,-0.53,-0.29,97.4785714285714,"Wet","Feb","2016","Xerxes-Woody","Wet","Hot Wet","Dog-Lion"
"87",2016,3,"2016-03",1,0.44,0.08,94.0271428571429,"Wet","Mar","2016","Adiga-Pride","Wet","Cold Wet","Dog-Lion"
"88",2016,3,"2016-03",2,0.44,0.08,94.0271428571429,"Wet","Mar","2016","Xerxes-FThree","Wet","Cold Wet","Dog-Lion"
"89",2016,4,"2016-04",1,0.74,0.03,30.75,"Wet","Apr","2016","Fiji-FThree","Cold Dry","Cold Wet","Dog-Lion"
"90",2016,6,"2016-06",1,0.79,0.03,6.53571428571429,"Dry","Jun","2016","Fiji-Pride","Cold Dry","Cold Dry","Dog-Lion"
"91",2016,7,"2016-07",1,0.7,0.03,0,"Dry","Jul","2016","Fiji-Pride","Cold Dry","Cold Dry","Dog-Lion"
"92",2016,8,"2016-08",1,1.17,0.03,0,"Dry","Aug","2016","Fiji-Pride","Hot Dry","Cold Dry","Dog-Lion"
"93",2016,9,"2016-09",1,0.91,0.03,0.625,"Dry","Sep","2016","Fiji-Buzz","Hot Dry","Hot Dry","Dog-Lion"
"94",2016,9,"2016-09",1,0.91,0.03,0.625,"Dry","Sep","2016","Fiji-Chloe","Hot Dry","Hot Dry","Dog-Lion"
"95",2016,9,"2016-09",1,0.91,0.03,0.625,"Dry","Sep","2016","Fiji-FEight","Hot Dry","Hot Dry","Dog-Lion"
"96",2016,10,"2016-10",1,-0.91,0.13,12.125,"Dry","Oct","2016","Fiji-FEight","Hot Dry","Hot Dry","Dog-Lion"
"97",2012,4,"2012-04",2,-0.14,0.16,30.75,"Wet","Apr","2012","Accra-Chalak","Cold Dry","Cold Wet","Dog-Leopard"
"98",2012,4,"2012-04",1,-0.14,0.16,30.75,"Wet","Apr","2012","Accra-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"99",2012,4,"2012-04",1,-0.14,0.16,30.75,"Wet","Apr","2012","Brian-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"100",2012,4,"2012-04",2,-0.14,0.16,30.75,"Wet","Apr","2012","Kigali-Chalak","Cold Dry","Cold Wet","Dog-Leopard"
"101",2012,4,"2012-04",3,-0.14,0.16,30.75,"Wet","Apr","2012","Kobe-Chalak","Cold Dry","Cold Wet","Dog-Leopard"
"102",2012,4,"2012-04",1,-0.14,0.16,30.75,"Wet","Apr","2012","Kobe-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"103",2012,4,"2012-04",2,-0.14,0.16,30.75,"Wet","Apr","2012","MJ-Chalak","Cold Dry","Cold Wet","Dog-Leopard"
"104",2012,4,"2012-04",1,-0.14,0.16,30.75,"Wet","Apr","2012","MJ-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"105",2012,4,"2012-04",2,-0.14,0.16,30.75,"Wet","Apr","2012","Scorpion-Chalak","Cold Dry","Cold Wet","Dog-Leopard"
"106",2012,4,"2012-04",2,-0.14,0.16,30.75,"Wet","Apr","2012","Timbuktu-Chalak","Cold Dry","Cold Wet","Dog-Leopard"
"107",2012,4,"2012-04",1,-0.14,0.16,30.75,"Wet","Apr","2012","Timbuktu-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"108",2012,5,"2012-05",2,-0.43,0.16,0,"Wet","May","2012","Brian-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"109",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Kubu-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"110",2012,5,"2012-05",2,-0.43,0.16,0,"Wet","May","2012","Yolo-Goose","Cold Dry","Cold Wet","Dog-Leopard"
"111",2012,6,"2012-06",2,-0.6,0.16,6.53571428571429,"Dry","Jun","2012","Accra-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"112",2012,6,"2012-06",5,-0.6,0.16,6.53571428571429,"Dry","Jun","2012","Kigali-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"113",2012,6,"2012-06",2,-0.6,0.16,6.53571428571429,"Dry","Jun","2012","Kobe-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"114",2012,6,"2012-06",3,-0.6,0.16,6.53571428571429,"Dry","Jun","2012","MJ-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"115",2012,6,"2012-06",4,-0.6,0.16,6.53571428571429,"Dry","Jun","2012","Scorpion-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"116",2012,6,"2012-06",1,-0.6,0.16,6.53571428571429,"Dry","Jun","2012","Timbuktu-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"117",2012,7,"2012-07",3,0.7,0.16,0,"Dry","Jul","2012","Accra-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"118",2012,7,"2012-07",3,0.7,0.16,0,"Dry","Jul","2012","Kigali-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"119",2012,7,"2012-07",5,0.7,0.16,0,"Dry","Jul","2012","MJ-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"120",2012,7,"2012-07",2,0.7,0.16,0,"Dry","Jul","2012","Scorpion-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"121",2012,7,"2012-07",2,0.7,0.16,0,"Dry","Jul","2012","Timbuktu-Chalak","Cold Dry","Cold Dry","Dog-Leopard"
"122",2012,8,"2012-08",2,1.17,0.16,0,"Dry","Aug","2012","Accra-Chalak","Hot Dry","Cold Dry","Dog-Leopard"
"123",2012,8,"2012-08",2,1.17,0.16,0,"Dry","Aug","2012","Kigali-Chalak","Hot Dry","Cold Dry","Dog-Leopard"
"124",2012,8,"2012-08",2,1.17,0.16,0,"Dry","Aug","2012","MJ-Chalak","Hot Dry","Cold Dry","Dog-Leopard"
"125",2012,8,"2012-08",1,1.17,0.16,0,"Dry","Aug","2012","Scorpion-Chalak","Hot Dry","Cold Dry","Dog-Leopard"
"126",2012,8,"2012-08",2,1.17,0.16,0,"Dry","Aug","2012","Timbuktu-Chalak","Hot Dry","Cold Dry","Dog-Leopard"
"127",2012,9,"2012-09",1,0.91,0.12,0.625,"Dry","Sep","2012","Kigali-Chalak","Hot Dry","Hot Dry","Dog-Leopard"
"128",2012,9,"2012-09",3,0.91,0.12,0.625,"Dry","Sep","2012","MJ-Chalak","Hot Dry","Hot Dry","Dog-Leopard"
"129",2012,10,"2012-10",2,-0.1,0.14,12.125,"Dry","Oct","2012","Scorpion-Chalak","Hot Dry","Hot Dry","Dog-Leopard"
"130",2012,10,"2012-10",3,-0.1,0.14,12.125,"Dry","Oct","2012","Yolo-Chalak","Hot Dry","Hot Dry","Dog-Leopard"
"131",2015,9,"2015-09",1,0.93,-0.41,0.625,"Dry","Sep","2015","Bongwe-Charles","Hot Dry","Hot Dry","Dog-Leopard"
"132",2015,9,"2015-09",1,0.93,-0.41,0.625,"Dry","Sep","2015","Xerxes-Goose","Hot Dry","Hot Dry","Dog-Leopard"
"133",2015,10,"2015-10",4,-0.49,-0.18,12.125,"Dry","Oct","2015","Bali-Goose","Hot Dry","Hot Dry","Dog-Leopard"
"134",2015,10,"2015-10",2,-0.49,-0.18,12.125,"Dry","Oct","2015","Xerxes-Goose","Hot Dry","Hot Dry","Dog-Leopard"
"135",2015,10,"2015-10",1,-0.49,-0.18,12.125,"Dry","Oct","2015","Zulu-Goose","Hot Dry","Hot Dry","Dog-Leopard"
"136",2015,11,"2015-11",1,-0.94,-0.26,38.3230769230769,"Dry","Nov","2015","Bali-Charles","Hot Dry","Hot Dry","Dog-Leopard"
"137",2015,11,"2015-11",2,-0.94,-0.26,38.3230769230769,"Dry","Nov","2015","Bali-Goose","Hot Dry","Hot Dry","Dog-Leopard"
"138",2015,11,"2015-11",3,-0.94,-0.26,38.3230769230769,"Dry","Nov","2015","Xerxes-Goose","Hot Dry","Hot Dry","Dog-Leopard"
"139",2015,12,"2015-12",1,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Bali-Goose","Wet","Hot Wet","Dog-Leopard"
"140",2015,12,"2015-12",2,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Bongwe-Charles","Wet","Hot Wet","Dog-Leopard"
"141",2015,12,"2015-12",1,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Xerxes-Charles","Wet","Hot Wet","Dog-Leopard"
"142",2015,12,"2015-12",4,-0.54,-0.49,126.070769230769,"Wet","Dec","2015","Xerxes-Goose","Wet","Hot Wet","Dog-Leopard"
"143",2016,1,"2016-01",1,-0.55,-0.46,138.971428571429,"Wet","Jan","2016","Xerxes-Charles","Wet","Hot Wet","Dog-Leopard"
"144",2016,1,"2016-01",4,-0.55,-0.46,138.971428571429,"Wet","Jan","2016","Xerxes-Goose","Wet","Hot Wet","Dog-Leopard"
"145",2016,2,"2016-02",4,-0.53,-0.29,97.4785714285714,"Wet","Feb","2016","Xerxes-Goose","Wet","Hot Wet","Dog-Leopard"
"146",2016,3,"2016-03",1,0.44,0.08,94.0271428571429,"Wet","Mar","2016","Fiji-Charles","Wet","Cold Wet","Dog-Leopard"
"147",2016,3,"2016-03",4,0.44,0.08,94.0271428571429,"Wet","Mar","2016","Xerxes-Goose","Wet","Cold Wet","Dog-Leopard"
