"","id","id_simple","sex","pack","species","isopleth","hr_area","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","date.begin","date.end","year","YearMon","Month","season","label","Sex","Pack","Species","social_group","Month_categorical","Year_categorical","threeseason","fourseason","average_rainfall"
"43","Aztec","Aztec","M","ZLU","African Wild Dog","BB95",317.921678199707,0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,2014-02-25 11:49:46,2014-03-28 11:49:46,2014,"2014-03",3,"Wet","2014 Wet 1","M","ZLU","African Wild Dog","ZLU","Mar","2014","Wet","Cold Wet",94.0271428571429
"44","Aztec","Aztec","M","ZLU","African Wild Dog","BB50",21.3169966552734,0.99,0.84,0.96,0.82,-0.04,144.5,469,697.45,1047.9,697.45,2014-02-25 11:49:46,2014-03-28 11:49:46,2014,"2014-03",3,"Wet","2014 Wet 1","M","ZLU","African Wild Dog","ZLU","Mar","2014","Wet","Cold Wet",94.0271428571429
"45","Aztec","Aztec","M","ZLU","African Wild Dog","BB95",271.20360632959,0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,2014-03-28 14:49:46,2014-04-28 11:49:46,2014,"2014-04",4,"Wet","2014 Wet 2","M","ZLU","African Wild Dog","ZLU","Apr","2014","Cold Dry","Cold Wet",30.75
"46","Aztec","Aztec","M","ZLU","African Wild Dog","BB50",32.0007179169922,0.08,0.58,0.96,0.88,0.28,11,246.25,706.45,1058.9,708.45,2014-03-28 14:49:46,2014-04-28 11:49:46,2014,"2014-04",4,"Wet","2014 Wet 2","M","ZLU","African Wild Dog","ZLU","Apr","2014","Cold Dry","Cold Wet",30.75
"47","Aztec","Aztec","M","ZLU","African Wild Dog","BB95",186.803154467773,0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,2014-08-01 02:49:46,2014-09-01 02:49:46,2014,"2014-08",8,"Dry","2014 Dry 1","M","ZLU","African Wild Dog","ZLU","Aug","2014","Hot Dry","Cold Dry",0
"48","Aztec","Aztec","M","ZLU","African Wild Dog","BB50",7.85048172558594,0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,2014-08-01 02:49:46,2014-09-01 02:49:46,2014,"2014-08",8,"Dry","2014 Dry 1","M","ZLU","African Wild Dog","ZLU","Aug","2014","Hot Dry","Cold Dry",0
"49","Aztec","Aztec","M","ZLU","African Wild Dog","BB50",44.0263679833984,0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,2014-09-01 05:49:46,2014-10-01 05:49:46,2014,"2014-09",9,"Dry","2014 Dry 2","M","ZLU","African Wild Dog","ZLU","Sep","2014","Hot Dry","Hot Dry",0.625
"50","Aztec","Aztec","M","ZLU","African Wild Dog","BB95",317.226880408691,0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,2014-09-01 05:49:46,2014-10-01 05:49:46,2014,"2014-09",9,"Dry","2014 Dry 2","M","ZLU","African Wild Dog","ZLU","Sep","2014","Hot Dry","Hot Dry",0.625
"51","Bali1","Bali","F","HAT","African Wild Dog","BB95",203.547255292969,0.63,-0.48,-0.56,-0.58,0.7,106.5,170.8,348.5,1056.95,359.5,2015-01-31 16:28:11,2015-03-03 16:28:11,2015,"2015-03",3,"Wet","2015 Wet 1","F","HAT","African Wild Dog","HAT","Mar","2015","Wet","Cold Wet",94.0271428571429
"52","Bali1","Bali","F","HAT","African Wild Dog","BB50",13.7365502172852,1.18,0.1,-0.33,-0.41,-0.58,47.2,170.7,395.7,1104.15,395.7,2015-04-03 19:28:11,2015-04-30 22:28:11,2015,"2015-04",4,"Wet","2015 Wet 3","F","HAT","African Wild Dog","HAT","Apr","2015","Cold Dry","Cold Wet",30.75
"53","Bali1","Bali","F","HAT","African Wild Dog","BB95",52.108230125,0,1.17,0.76,-0.41,-0.41,0,-1.4210854715202e-14,153.7,1104.15,395.7,2015-08-01 00:23:01,2015-09-01 00:23:01,2015,"2015-08",8,"Dry","2015 Dry 1","F","HAT","African Wild Dog","HAT","Aug","2015","Hot Dry","Cold Dry",0
"54","Bali1","Bali","F","HAT","African Wild Dog","BB50",34.2664925039062,0.63,-0.48,-0.56,-0.58,0.7,106.5,170.8,348.5,1056.95,359.5,2015-01-31 16:28:11,2015-03-03 16:28:11,2015,"2015-03",3,"Wet","2015 Wet 1","F","HAT","African Wild Dog","HAT","Mar","2015","Wet","Cold Wet",94.0271428571429
"55","Bali1","Bali","F","HAT","African Wild Dog","BB95",208.236642416992,1.18,0.1,-0.33,-0.41,-0.58,47.2,170.7,395.7,1104.15,395.7,2015-04-03 19:28:11,2015-04-30 22:28:11,2015,"2015-04",4,"Wet","2015 Wet 3","F","HAT","African Wild Dog","HAT","Apr","2015","Cold Dry","Cold Wet",30.75
"56","Bali1","Bali","F","HAT","African Wild Dog","BB50",32.3489957241211,-0.78,-0.94,-0.95,-0.26,-0.18,17.05,19.8,19.8,1040.95,391.6,2015-11-02 03:23:01,2015-11-30 21:23:01,2015,"2015-11",11,"Dry","2015 Dry 4","F","HAT","African Wild Dog","HAT","Nov","2015","Hot Dry","Hot Dry",38.3230769230769
"57","Bali1","Bali","F","HAT","African Wild Dog","BB95",177.773542958496,0.63,-0.48,-0.56,-0.58,-0.36,106.5,170.8,348.5,1056.95,359.5,2015-03-03 19:28:11,2015-04-03 16:28:11,2015,"2015-03",3,"Wet","2015 Wet 2","F","HAT","African Wild Dog","HAT","Mar","2015","Wet","Cold Wet",94.0271428571429
"58","Bali1","Bali","F","HAT","African Wild Dog","BB50",25.2429598823242,0.63,-0.48,-0.56,-0.58,-0.36,106.5,170.8,348.5,1056.95,359.5,2015-03-03 19:28:11,2015-04-03 16:28:11,2015,"2015-03",3,"Wet","2015 Wet 2","F","HAT","African Wild Dog","HAT","Mar","2015","Wet","Cold Wet",94.0271428571429
"59","Bali1","Bali","F","HAT","African Wild Dog","BB95",79.8969442382813,-0.3,-0.53,-0.74,-0.29,-0.46,49.75,238.7,258.5,809.7,412.2,2016-02-01 03:21:53,2016-03-03 00:21:53,2016,"2016-02",2,"Wet","2016 Wet 3","F","HAT","African Wild Dog","HAT","Feb","2016","Wet","Hot Wet",97.4785714285714
"60","Bali1","Bali","F","HAT","African Wild Dog","BB50",14.1553227143555,-0.3,-0.53,-0.74,-0.29,-0.46,49.75,238.7,258.5,809.7,412.2,2016-02-01 03:21:53,2016-03-03 00:21:53,2016,"2016-02",2,"Wet","2016 Wet 3","F","HAT","African Wild Dog","HAT","Feb","2016","Wet","Hot Wet",97.4785714285714
"61","Bali1","Bali","F","HAT","African Wild Dog","BB50",5.63017747998047,-0.51,-0.49,-0.55,-0.18,-0.41,2,2.74999999999999,2.75000000000004,1104.9,398.45,2015-10-02 03:23:01,2015-11-02 00:23:01,2015,"2015-10",10,"Dry","2015 Dry 3","F","HAT","African Wild Dog","HAT","Oct","2015","Hot Dry","Hot Dry",12.125
"62","Bali1","Bali","F","HAT","African Wild Dog","BB95",128.772127442871,0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,2015-09-01 03:23:01,2015-10-02 00:23:01,2015,"2015-09",9,"Dry","2015 Dry 2","F","HAT","African Wild Dog","HAT","Sep","2015","Hot Dry","Hot Dry",0.625
"63","Bali1","Bali","F","HAT","African Wild Dog","BB50",8.65528554248047,0.93,0.93,0.99,-0.41,-0.41,0.75,0.749999999999986,47.95,1104.9,396.45,2015-09-01 03:23:01,2015-10-02 00:23:01,2015,"2015-09",9,"Dry","2015 Dry 2","F","HAT","African Wild Dog","HAT","Sep","2015","Hot Dry","Hot Dry",0.625
"64","Bali1","Bali","F","HAT","African Wild Dog","BB95",115.12486023877,-0.51,-0.49,-0.55,-0.18,-0.41,2,2.74999999999999,2.75000000000004,1104.9,398.45,2015-10-02 03:23:01,2015-11-02 00:23:01,2015,"2015-10",10,"Dry","2015 Dry 3","F","HAT","African Wild Dog","HAT","Oct","2015","Hot Dry","Hot Dry",12.125
"65","Bali1","Bali","F","HAT","African Wild Dog","BB50",3.0190878984375,0,1.17,0.76,-0.41,-0.41,0,-1.4210854715202e-14,153.7,1104.15,395.7,2015-08-01 00:23:01,2015-09-01 00:23:01,2015,"2015-08",8,"Dry","2015 Dry 1","F","HAT","African Wild Dog","HAT","Aug","2015","Hot Dry","Cold Dry",0
"66","Bali1","Bali","F","HAT","African Wild Dog","BB95",216.024676828125,-0.78,-0.94,-0.95,-0.26,-0.18,17.05,19.8,19.8,1040.95,391.6,2015-11-02 03:23:01,2015-11-30 21:23:01,2015,"2015-11",11,"Dry","2015 Dry 4","F","HAT","African Wild Dog","HAT","Nov","2015","Hot Dry","Hot Dry",38.3230769230769
"67","Bali1","Bali","F","HAT","African Wild Dog","BB50",18.0296829897461,-0.3,-0.53,-0.74,-0.29,-0.49,49.75,238.7,258.5,809.7,412.2,2016-01-27 15:21:53,2016-02-01 00:21:53,2016,"2016-02",2,"Wet","2016 Wet 2","F","HAT","African Wild Dog","HAT","Feb","2016","Wet","Hot Wet",97.4785714285714
